,graph_artists,playlist_artists,graph_ID,graph_pop,playlist_ID,playlist_pop
466,paul slack,star fucking hipsters,0vtZ98NeagiMI8N0npdQ3B,0,0ZyPhNogYtuJGK8ZdYQpQG,38
467,the skulls,the chats,5n14E0cV8fxiEZvhdke0dL,6,1aQ7P3HtKOQFW16ebjiks1,58
468,7 seconds,the fades,1ByqGbfU0crCY2zEr0U8Sv,31,58FnrTrMiP3T8lUjkbNZdZ,2
469,the dogs d’amour,secretions,7aRd5u0bLGDwfY0mv5sfyy,25,2DMVZcuhEMFD9FV2rZzpVC,8
470,anti-pasti,the distillers,4dZKzWDVHSXfDfB5qjW1UN,18,7MlyHuGRHi31yYlrttDqgT,53
471,avenged sevenfold,nofx,0nmQIMXWTXfhgOBdNzhGOs,77,4S2yOnmsWW97dT87yVoaSZ,65
472,t.s.o.l.,tom robinson band,4oPMm2idleIKLdBWgZilSi,44,57YVY9QP1mhqc51WqHln0e,42
473,osi,the radiators from space,1SDL0IuBpmrqx7Jag5HWdQ,38,1HnC7fVSPk5yuh2TtWV9AL,11
474,propellerheads,bad brains,3Z7thZHrtFvqp8OpPffPKp,46,1oVj9JmPUPg4SQ2uerV2xc,52
475,maxon blewitt,lars frederiksen and the bastards,1V6ltTt5WrqFRRNY3Wqbsv,2,64HBI5GPR0TqM0TyAKu0nG,43
476,the youngbloods,pixies,5I6MzhNEMk27cZsCqGAIYo,45,6zvul52xwTWzilBZl6BUbT,70
477,catatonics,crass,0,0,054P3YpUCLmd6a8HwdWDXE,41
478,pain of salvation,mclusky,1uRpg2s2jNaxbmoNiJDGfd,43,3xA9AB0f4BVjsSlyQc12iE,35
479,strangelove,the rezillos,6arQFFRjYKcJzEsULbKnzD,16,0nbaBQTlGxUPLQ07N7onwv,36
480,plasmatics,new york dolls,4kf4d3tN0MZGpEP6BacY8j,27,0WhGV9lzljq2QKJ8ipw6jx,46
481,youth brigade,bratmobile,1eutYbNCbzXAEK1pOd0GfS,18,3GTaO7e3uPaG0SJR7Hxy8L,41
482,the jazz butcher,me first and the gimme gimmes,7zi9v3F5KzAuS3MkJtm5dc,21,0cOVRC8EOwDwXrs3JTrRN5,57
483,les blauw,roger miret & the disasters,0,0,4d9NGlbVatiMW0zqfOoe9O,21
484,the wake,them fangs,39aYm70XPfUpkMIKSfeeig,31,2NRR0lyVjbWkNopfUgOp7i,18
485,d.i.,wire,5oasYcG0IyAwjap9t3MWW0,33,2i8ynmFv4qgRksyDlBgi6d,51
486,combat 84,d.o.a.,0dx13M6EtQYQHMy7tY7Ly0,23,3g92p1YpivbOqVLiYVd4Yk,38
487,the lewd,gang green,2EhgQvlWrMULDhgpZPAR2E,12,4gfM529Pq1Qxrc40MfJmge,33
488,the big bad bobby williams band,guttermouth,0,0,2zIenWuthqTgWumViRZCZV,46
489,transatlantic,teenage bottlerocket,4eOjprZV7J3pEjQOsdtLjC,28,0mGyXXKzoR5KAAh4Mkef2W,49
490,dave holland big band,reagan youth,74gjeRk6qszP1GESbyVmb5,8,5105k1OIV9BdhuB3rxtHYb,33
491,,the pleasure seekers,,,0GM1vR5VfHidDOiyI1zAu1,24
492,,senior discount,,,4xk0mwRccwaYcB8DhZDC2L,1
493,,the jam,,,2P560DaOMNDUACoH8ZhOCR,62
494,,generation x,,,1inWec2E2UgfzMAhwjgTXe,49
495,,the dictators,,,2Ohpu0UE5PFDgfhUxEi0Fy,33
496,,the exploited,,,6NB4b8lltHCjOhW7vQZkAy,45
497,,minor threat,,,07PiZYrhllpSXtELkUxlrf,50
498,,dwarves,,,4D9H6CaKzDTaN1EbAHypYg,41
499,,gg allin,,,5Nx3gPpU2OFLI80rv7fDX5,42
500,,l7,,,2zMQOJ4Cyl4BYbw6WqaO3h,49
501,,lipstick homicide,,,5J6uj0yBahnpt2roe5lY6t,11
502,,zero boys,,,3tasoNLQ6d3uNBGrC1LEOD,32
503,,randy,,,7qYeIN2r4H1kBvr0Gm9Iav,59
504,,the subhumans,,,723eM08XdPbUgcDh8Ql0rN,16
505,,the bloody hollies,,,5QKdSZ3P74BUn3RyudmmzE,21
506,,misfits,,,1cXi8ALPQCBHZbf0EgP4Ey,64
507,,pup,,,6A7uqgC2N1nUhrCLAytHxN,58
508,,the avengers,,,7eSvd8I9IvSXvz5DhbJ7Oe,17
509,,x,,,54NqjhP2rT524Mi2GicG4K,48
510,,the spits,,,3nTp46BPWuUUhBV6GXQiY6,38
511,,the meatmen,,,2Pu7FTzx1loEs7y6EWLljQ,24
512,,the partisans,,,3ho0qXUQ5Vmj7IhKIq3afM,28
513,,le tigre,,,2n6FviARgtjjimZXu18uRM,49
514,,peter and the test tube babies,,,2mHQfi32bOrYcD42cazcmh,35
515,,link wray,,,2vQavlZtDA660mnZotYIto,50
516,,death,,,4f5V3PQ66nIrBCqugJtaGn,58
517,,ill repute,,,2FE7KWiPJqwic38cmnAUQs,25
518,,mission of burma,,,5UMQV83wwZCCvRSQCVjZw6,41
519,,wipers,,,0sTTw3dw3EA0c7NaZnrJd2,41
520,,the stooges,,,4BFMTELQyWJU1SwqcXMBm3,57
521,,the muffs,,,4FYk4moRCGHdXIK3AMcelO,40
522,,d.i.,,,5oasYcG0IyAwjap9t3MWW0,33
523,,the 5.6.7.8's,,,5MZqcO35TJh5QXaFmvXmUy,41
524,,bobnoxious,,,4XKAW7qJs0xKoQuMnofGYu,14
525,,green day,,,7oPftvlwr6VrsViSDV7fJY,83
