,graph_artists,playlist_artists,graph_ID,graph_pop,playlist_ID,playlist_pop
198,poco,zz top,0fyqyjD7pbaVzbu94ylWQR,48,2AM4ilv6UzW0uMRuqKtDgN,72
199,argent,the guess who,46VosWAvtZsBl7rvxufsWG,38,0cQuYRSzlItquYxsQKDvVc,61
200,steve vai,america,32Jb1X3wSmmoHj2epZReZA,53,35U9lQaRWSQISxQAB94Meo,70
201,gary moore,tom petty and the heartbreakers,23wr9RJZg0PmYvVFyNkQ4j,60,4tX2TplrkIP4v05BNC903e,71
202,kirk hammett,steve miller band,2ePzbA0F0TD96Na0MEB2Cf,20,6QtGlUje9TIkLrgPZrESuk,70
203,ringo starr & his all starr band,the allman brothers band,6DbJi8AcN5ANdtvJcwBSw8,54,4wQ3PyMz3WwJGI5uEqHUVR,68
204,geordie,t. rex,0IzJYdxaNLwrC7diSCu0iY,28,3dBVyJ7JuOMt4GE9607Qin,65
205,stereophonics,quiet riot,21UJ7PRWb3Etgsu99f8yo8,68,1dLWg6m8RRhizsdqJbhyj3,63
206,naked city,heart,1wDXSijq7Sw72GFNS55Ozj,0,34jw2BbxjoYalTp8cJFCPv,69
207,don henley,van morrison,5dbuFbrHa1SJlQhQX9OUJ2,67,44NX2ffIYHr6D4n7RaZF7A,76
208,kansas,ozzy osbourne,2hl0xAkS2AIRAu23TVMBG1,69,6ZLTlhejhndI4Rh53vYhrY,78
209,derek and the dominos,bad company,2rc78XDH9zuJP6bm78lU8Z,63,5AEG63ajney2BoDXi0Vb84,64
210,chelsea,blue öyster cult,25O9uYqu9G9i3tVOcH03k6,27,00tVTdpEhQQw1bqdu8RCx2,67
211,metallica,cheap trick,2ye2Wgw4gimLv2eAKyk1NB,83,1LB8qB5BPb3MHQrfkvifXU,65
212,ozzy osbourne,janis joplin,6ZLTlhejhndI4Rh53vYhrY,78,4NgfOZCL9Ml67xzM0xzIvC,68
213,ministry,mountain,1DXylZlWbVvlckNqwvjTEt,54,7LCp4MN0SOIVWlssid9KyE,57
214,revolting cocks,jimi hendrix,7vCJSBATlld5vDKTH87tpG,33,776Uo845nYHJpNaStv1Ds4,74
215,rush,the byrds,2Hkut4rAAyrQxRdof7FVJq,70,1PCZpxHJz7WAMF8EEq8bfc,63
216,alice in chains,rush,64tNsm6TnZe2zpcMVMOoHL,73,2Hkut4rAAyrQxRdof7FVJq,70
217,nine inch nails,robert palmer,0X380XXQSNBYuleKzav5UO,69,530Sdm7eqqzWBdDmILMgnu,62
218,evanescence,the marshall tucker band,5nGIFgo0shDenQYSE0Sn7c,73,59QxeZBL6k9L4oJBGSyukd,60
219,fear factory,billy idol,74Hj7BmnUXyx2udrIEIKwX,55,7lzordPuZEXxwt9aoVZYmG,70
220,opeth,don henley,0ybFZ2Ab08V8hueghSXm6E,61,5dbuFbrHa1SJlQhQX9OUJ2,67
221,ted nugent,lou reed,21ysNsPzHdqYN2fQ75ZswG,60,42TFhl7WlMRXiNqzSrnzPL,68
222,testament,motionless in white,28hJdGN1Awf7u3ifk2lVkg,60,6MwPCCR936cYfM1dLsGVnl,67
223,finger eleven,wage war,0niJkG4tKkne3zwr7I8n9n,59,6bu7CtcOMWcS0BMq7snHW6,62
224,kmfdm,asking alexandria,3V4IvzRQYP5mzuVtkcHgVa,51,1caBfBEapzw8z2Qz9q0OaQ,70
225,dark new day,slaves,4p4w7caKUrj4emHsdmSToC,37,4rMxZovfLSDjEL9eI2pKo7,58
226,korn,five finger death punch,3RNrq3jvMZxD9ZyoOZbQOD,75,5t28BP42x2axFnqOOMg3CM,80
227,lita ford,silverstein,77tBvvyd6SD4Y9Um1xcbxP,51,1Tsag5J854qxeOo2apszug,66
228,katatonia,red,2CWWgbxApjbyByxBBCvGTm,55,01crEa9G3pNpXZ5m7wuHOk,65
229,rob zombie,sleeping with sirens,3HVdAiMNjYrQIKlOGxoGh5,65,3N8Hy6xQnQv1F1XCiyGQqA,68
230,heart,theory of a deadman,34jw2BbxjoYalTp8cJFCPv,69,74eX4C98E4FCrAMl39qRsJ,70
231,anathema,in this moment,0ZXKT0FCsLWkSLCjoBJgBX,54,6tbLPxj1uQ6vsRQZI2YFCT,68
232,slipknot,falling in reverse,05fG473iIaoy82BF1aGhL8,80,2CmaKO2zEGJ1NWpS1yfVGz,73
